,year_month,Product_Name_top5_per_state_others,Customer State,Order Item Quantity,year
0,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,AZ,11,2015
1,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,CA,89,2015
2,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,CO,9,2015
3,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,CT,2,2015
4,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,DC,2,2015
5,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,FL,21,2015
6,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,GA,9,2015
7,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,HI,3,2015
8,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,IL,15,2015
9,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,KS,1,2015
10,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,KY,2,2015
11,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,LA,5,2015
12,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,MA,3,2015
13,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,MD,16,2015
14,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,MI,15,2015
15,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,MN,1,2015
16,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,MO,1,2015
17,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,NC,3,2015
18,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,ND,1,2015
19,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,NJ,7,2015
20,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,NM,4,2015
21,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,NV,4,2015
22,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,NY,26,2015
23,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,OH,13,2015
24,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,OR,3,2015
25,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,PA,10,2015
26,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,PR,219,2015
27,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,RI,3,2015
28,2015-01,Field & Stream Sportsman 16 Gun Fire Safe,SC,3,2015
